?cls	?xref
<http://purl.obolibrary.org/obo/XAO_0004606>	"UBERON:2000633"
<http://purl.obolibrary.org/obo/XAO_0000447>	"UBERON:0003114"
<http://purl.obolibrary.org/obo/XAO_0004013>	"UBERON:0007844"
<http://purl.obolibrary.org/obo/XAO_1000005>	"UBERON:0000109"
<http://purl.obolibrary.org/obo/XAO_0004212>	"UBERON:0009125"
<http://purl.obolibrary.org/obo/XAO_0005072>	"UBERON:0004790"
<http://purl.obolibrary.org/obo/XAO_0000276>	"UBERON:0004872"
<http://purl.obolibrary.org/obo/XAO_0004543>	"UBERON:0002291"
<http://purl.obolibrary.org/obo/XAO_0004586>	"UBERON:0002718"
<http://purl.obolibrary.org/obo/XAO_0003077>	"UBERON:0004451"
<http://purl.obolibrary.org/obo/XAO_0005156>	"UBERON:0001161"
<http://purl.obolibrary.org/obo/XAO_0004020>	"UBERON:0004529"
<http://purl.obolibrary.org/obo/XAO_0004523>	"CL:0007011"
<http://purl.obolibrary.org/obo/XAO_0003014>	"CL:0000147"
<http://purl.obolibrary.org/obo/XAO_0003040>	"UBERON:0000479"
<http://purl.obolibrary.org/obo/XAO_0003040>	"CARO:0000043"
<http://purl.obolibrary.org/obo/XAO_0004158>	"UBERON:0001672"
<http://purl.obolibrary.org/obo/XAO_0000148>	"UBERON:0000083"
<http://purl.obolibrary.org/obo/XAO_0003048>	"CL:0000025"
<http://purl.obolibrary.org/obo/XAO_0003157>	"CL:0000084"
<http://purl.obolibrary.org/obo/XAO_0000292>	"UBERON:0005322"
<http://purl.obolibrary.org/obo/XAO_0004096>	"UBERON:0002444"
<http://purl.obolibrary.org/obo/XAO_0000338>	"UBERON:0003085"
<http://purl.obolibrary.org/obo/XAO_0000104>	"UBERON:0001046"
<http://purl.obolibrary.org/obo/XAO_0003192>	"UBERON:0002078"
<http://purl.obolibrary.org/obo/XAO_0003216>	"UBERON:0003902"
<http://purl.obolibrary.org/obo/XAO_0004485>	"CL:0000165"
<http://purl.obolibrary.org/obo/XAO_0000064>	"UBERON:0000948"
<http://purl.obolibrary.org/obo/XAO_0000237>	"UBERON:0002116"
<http://purl.obolibrary.org/obo/XAO_0004052>	"UBERON:0011587"
