?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/XAO_0004176>	"A plexus of capillaries that is located anteromedial to the eye. It is a capillary layer in the choroid. It is in contact with the basal surface of the retinal pigmented epithelium and supplies the photoreceptors with oxygen and nutrients. The fused basement membrane of this capillary layer and the pigmented epithelium is called Bruch's membrane."	"UBERON:0010078"
<http://purl.obolibrary.org/obo/XAO_0005100>	"Blastomere which lies adjacent to the prospective dorsal midline in the fourth tier of blastomeres. It contributes largely to endodermal and mesodermal structures including the branchial and lateral plate mesoderm, foregut, liver, hindgut, some of the trunk, and a small number of cells contributing to neural crest of ectodermal origin."	
<http://purl.obolibrary.org/obo/XAO_0003074>	"Anatomical cluster that consists of all the vertebrae in the body."	"UBERON:0001130"
<http://purl.obolibrary.org/obo/XAO_1000039>	"Nieuwkoop and Faber stage 23, corresponding to an embryo of age 1 day, 45 min at 22-24 Celsius and having the following external morphological criteria: Jaw- and gill-areas completely separated by groove. Ventral outline of embryo more concave. Length: 2.2 - 2.4 mm."	
<http://purl.obolibrary.org/obo/XAO_0003229>	"Trunk muscle that lies dorsal to the horizontal septum of the vertebrae."	"UBERON:0008778"
<http://purl.obolibrary.org/obo/XAO_0003046>	"Portion of embryonic tissue consisting of loosely organized, undifferentiated mesodermal or neural crest derived cells, that have specific properties (they are migratory, have no polarity). Mesenchyme cells are incorporated into a wide variety of structures including connective tissue, blood, bone and cartilage as development continues."	"UBERON:0003104"
<http://purl.obolibrary.org/obo/XAO_0004417>	"Claw located at the end of the 1st hindlimb digit."	
<http://purl.obolibrary.org/obo/XAO_0000274>	"The point on the surface of the egg at which the sperm enters the egg."	
<http://purl.obolibrary.org/obo/XAO_0004274>	"Anatomical system that consists of all the joints of the body."	"UBERON:0004770"
<http://purl.obolibrary.org/obo/XAO_0004441>	"The presumptive cells of the constrictores branchiales II muscles."	
<http://purl.obolibrary.org/obo/XAO_0000392>	"Vein that starts in capillaries of the alimentary canal and ends in capillaries of the liver."	"UBERON:0002017"
<http://purl.obolibrary.org/obo/XAO_0004427>	"The presumptive cells of the levator mandibulae longus superior muscle."	
