?x	?p	?y
<http://purl.obolibrary.org/obo/XAO_0000076>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000020>
<http://purl.obolibrary.org/obo/XAO_0000269>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000044>
<http://purl.obolibrary.org/obo/XAO_0005081>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000085>
<http://purl.obolibrary.org/obo/XAO_0003194>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000177>
<http://purl.obolibrary.org/obo/XAO_0005010>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0005317>
<http://purl.obolibrary.org/obo/XAO_0004427>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000049>
<http://purl.obolibrary.org/obo/XAO_0004330>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000050>
<http://purl.obolibrary.org/obo/XAO_0004475>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0003015>
<http://purl.obolibrary.org/obo/XAO_0004067>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000090>
<http://purl.obolibrary.org/obo/XAO_0000425>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000059>
<http://purl.obolibrary.org/obo/XAO_0005120>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0000119>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000117>
<http://purl.obolibrary.org/obo/XAO_0003094>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000046>
<http://purl.obolibrary.org/obo/XAO_0005261>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000078>
<http://purl.obolibrary.org/obo/XAO_0006002>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0000050>
<http://purl.obolibrary.org/obo/XAO_0003259>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0003020>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0003018>
<http://purl.obolibrary.org/obo/XAO_0000176>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0004229>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0003026>
<http://purl.obolibrary.org/obo/XAO_0005056>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000047>
<http://purl.obolibrary.org/obo/XAO_0004091>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000020>
<http://purl.obolibrary.org/obo/XAO_0005132>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0005131>
<http://purl.obolibrary.org/obo/XAO_0000157>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000064>
<http://purl.obolibrary.org/obo/XAO_0005308>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000064>
<http://purl.obolibrary.org/obo/XAO_1000039>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_1000002>
<http://purl.obolibrary.org/obo/XAO_0004397>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0004060>
<http://purl.obolibrary.org/obo/XAO_0000327>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0003152>
<http://purl.obolibrary.org/obo/XAO_0004040>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000057>
<http://purl.obolibrary.org/obo/XAO_0005062>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0000050>
<http://purl.obolibrary.org/obo/XAO_0004002>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000095>
<http://purl.obolibrary.org/obo/XAO_0005101>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000016>
<http://purl.obolibrary.org/obo/XAO_0006049>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0005024>
<http://purl.obolibrary.org/obo/XAO_0004150>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0005196>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0000333>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0004249>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0005241>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000042>
<http://purl.obolibrary.org/obo/XAO_0004555>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0000253>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000020>
<http://purl.obolibrary.org/obo/XAO_1000063>	<http://purl.obolibrary.org/obo/xao#preceded_by>	<http://purl.obolibrary.org/obo/XAO_1000062>
<http://purl.obolibrary.org/obo/XAO_0004214>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0003171>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000057>
<http://purl.obolibrary.org/obo/XAO_0004473>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000056>
<http://purl.obolibrary.org/obo/XAO_0003214>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000067>
<http://purl.obolibrary.org/obo/XAO_0004485>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000042>
<http://purl.obolibrary.org/obo/XAO_0000128>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000052>
<http://purl.obolibrary.org/obo/XAO_0004046>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0004045>
<http://purl.obolibrary.org/obo/XAO_0004352>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0000056>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000075>
<http://purl.obolibrary.org/obo/XAO_0003060>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000040>
<http://purl.obolibrary.org/obo/XAO_0005106>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000016>
<http://purl.obolibrary.org/obo/XAO_0004253>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0004423>
<http://purl.obolibrary.org/obo/XAO_0005076>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000047>
<http://purl.obolibrary.org/obo/XAO_0006020>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0004570>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0004302>
<http://purl.obolibrary.org/obo/XAO_0003192>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0005198>
<http://purl.obolibrary.org/obo/XAO_0004539>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000047>
<http://purl.obolibrary.org/obo/XAO_0000448>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0004524>
<http://purl.obolibrary.org/obo/XAO_0000082>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0000089>
<http://purl.obolibrary.org/obo/XAO_0000231>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000066>
<http://purl.obolibrary.org/obo/XAO_0003225>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000050>
<http://purl.obolibrary.org/obo/XAO_0005151>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0000053>
<http://purl.obolibrary.org/obo/XAO_0003151>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000071>
<http://purl.obolibrary.org/obo/XAO_0004148>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0004628>
<http://purl.obolibrary.org/obo/XAO_0004508>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000023>
<http://purl.obolibrary.org/obo/XAO_0000267>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0000032>
<http://purl.obolibrary.org/obo/XAO_0005186>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000052>
<http://purl.obolibrary.org/obo/XAO_0004023>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000057>
<http://purl.obolibrary.org/obo/XAO_0000220>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000059>
<http://purl.obolibrary.org/obo/XAO_0004139>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0005250>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000056>
